[LOG][2000-01-01 06:13] Temp: 18.9C, Press: 100.2Pa, Humid: 66.1%, Volt: 13.9V, Flow: 13.6 L/min, CO2: 383 ppm
[LOG][2002-09-24 09:47] Temp: 29.2C, Press: 102.7Pa, Humid: 67.7%, Volt: 13.4V, Flow: 14.3 L/min, CO2: 429 ppm
[LOG][2002-09-25 09:08] Temp: 32.8C, Press: 103.8Pa, Humid: 44.7%, Volt: 13.3V, Flow: 13.0 L/min, CO2: 427 ppm
[LOG][2002-09-25 18:51] Temp: 16.1C, Press: 104.5Pa, Humid: 74.7%, Volt: 12.5V, Flow: 11.2 L/min, CO2: 441 ppm
[LOG][2002-09-26 22:18] Temp: 17.0C, Press: 99.7Pa, Humid: 74.0%, Volt: 12.2V, Flow: 6.8 L/min, CO2: 484 ppm
[LOG][2002-09-27 09:41] Temp: 20.0C, Press: 99.6Pa, Humid: 54.7%, Volt: 11.9V, Flow: 12.0 L/min, CO2: 481 ppm
[LOG][2002-09-27 13:51] Temp: 18.9C, Press: 104.9Pa, Humid: 38.9%, Volt: 11.4V, Flow: 5.3 L/min, CO2: 432 ppm
[LOG][2002-09-28 04:53] Temp: 24.5C, Press: 99.0Pa, Humid: 34.4%, Volt: 11.1V, Flow: 6.3 L/min, CO2: 369 ppm
[LOG][2002-09-28 06:24] Temp: 23.6C, Press: 100.7Pa, Humid: 58.9%, Volt: 11.4V, Flow: 7.7 L/min, CO2: 458 ppm
[LOG][2002-09-28 10:14] Temp: 17.7C, Press: 104.3Pa, Humid: 31.2%, Volt: 13.0V, Flow: 12.3 L/min, CO2: 454 ppm
[LOG][2002-09-29 06:50] Temp: 23.3C, Press: 101.0Pa, Humid: 42.5%, Volt: 12.8V, Flow: 9.0 L/min, CO2: 416 ppm
[LOG][2002-09-29 08:19] Temp: nanC, Press: 102.3Pa, Humid: 53.5%, Volt: nanV, Flow: 9.0 L/min, CO2: nan ppm
[ERROR] Sensor Disconnected - Volt: nan, Temp: nan, CO2: nan
[LOG][2002-09-30 01:22] Temp: 26.3C, Press: 104.3Pa, Humid: 30.4%, Volt: 12.5V, Flow: 13.2 L/min, CO2: 357 ppm
[DEBUG] Interval Check
[LOG][2002-10-01 05:58] Temp: 26.6C, Press: 102.6Pa, Humid: 46.1%, Volt: 12.4V, Flow: 5.9 L/min, CO2: 370 ppm
[LOG][2002-10-01 06:45] Temp: 15.3C, Press: 104.3Pa, Humid: 42.5%, Volt: 13.3V, Flow: 5.7 L/min, CO2: 435 ppm
[LOG][2002-10-02 16:12] Temp: 15.9C, Press: 99.9Pa, Humid: 43.6%, Volt: 13.1V, Flow: 9.3 L/min, CO2: 373 ppm
[LOG][2002-10-03 11:46] Temp: 25.7C, Press: 102.4Pa, Humid: 60.0%, Volt: 13.2V, Flow: 13.0 L/min, CO2: 354 ppm
[LOG][2002-10-04 22:13] Temp: 30.4C, Press: 98.1Pa, Humid: 59.4%, Volt: 11.5V, Flow: 6.8 L/min, CO2: 461 ppm
[LOG][2002-10-05 05:02] Temp: 21.6C, Press: 100.3Pa, Humid: 49.2%, Volt: 11.1V, Flow: 13.6 L/min, CO2: 450 ppm
[LOG][2002-10-05 18:13] Temp: 27.6C, Press: 98.1Pa, Humid: 74.8%, Volt: 11.4V, Flow: 8.7 L/min, CO2: 424 ppm
[LOG][2002-10-05 19:45] Temp: 23.0C, Press: 104.2Pa, Humid: 33.3%, Volt: 12.8V, Flow: 11.6 L/min, CO2: 413 ppm
[LOG][2002-10-06 23:35] Temp: 34.2C, Press: 101.2Pa, Humid: 44.4%, Volt: 5.7V, Flow: 12.8 L/min, CO2: 451 ppm
[WARN] Low Voltage Warning - Volt: 5.7V
[LOG][2002-10-07 17:09] Temp: 30.4C, Press: 103.8Pa, Humid: 70.0%, Volt: 11.0V, Flow: 9.7 L/min, CO2: 495 ppm
[LOG][2002-10-07 19:56] Temp: 25.2C, Press: 101.9Pa, Humid: 60.6%, Volt: 13.5V, Flow: 12.6 L/min, CO2: 490 ppm
[LOG][2002-10-08 23:37] Temp: 23.2C, Press: 101.2Pa, Humid: 66.7%, Volt: 11.7V, Flow: 6.7 L/min, CO2: 447 ppm
[LOG][2002-10-09 08:31] Temp: 16.9C, Press: 99.2Pa, Humid: 49.2%, Volt: 12.8V, Flow: 10.4 L/min, CO2: 409 ppm
[LOG][2002-10-10 05:28] Temp: 20.1C, Press: 99.8Pa, Humid: 35.9%, Volt: 12.2V, Flow: 11.0 L/min, CO2: 364 ppm
[LOG][2002-10-10 14:38] Temp: 24.8C, Press: 103.9Pa, Humid: 76.3%, Volt: 11.2V, Flow: 6.2 L/min, CO2: 448 ppm
[LOG][2002-10-10 18:27] Temp: 24.4C, Press: 101.7Pa, Humid: 60.4%, Volt: 11.2V, Flow: 10.8 L/min, CO2: 459 ppm
[LOG][2002-10-11 08:10] Temp: 20.3C, Press: 102.4Pa, Humid: 65.6%, Volt: 12.3V, Flow: 11.1 L/min, CO2: 419 ppm
[LOG][2002-10-11 17:03] Temp: 28.4C, Press: 100.4Pa, Humid: 72.2%, Volt: 11.2V, Flow: 11.4 L/min, CO2: 424 ppm
[LOG][2002-10-12 03:20] Temp: nanC, Press: 103.9Pa, Humid: nan%, Volt: 12.0V, Flow: nan L/min, CO2: 450 ppm
[ERROR] Sensor Disconnected - Humid: nan, Temp: nan, Flow: nan
[LOG][2002-10-12 11:04] Temp: 32.7C, Press: 100.7Pa, Humid: 43.8%, Volt: 13.4V, Flow: 6.6 L/min, CO2: 373 ppm
[LOG][2002-10-13 01:07] Temp: 26.7C, Press: 98.4Pa, Humid: 40.2%, Volt: 12.4V, Flow: 11.7 L/min, CO2: 383 ppm
[LOG][2002-10-13 20:46] Temp: 21.1C, Press: 99.6Pa, Humid: 42.7%, Volt: 11.3V, Flow: 11.8 L/min, CO2: 493 ppm
[LOG][2002-10-14 08:08] Temp: 21.8C, Press: 104.4Pa, Humid: 52.1%, Volt: 11.4V, Flow: 13.6 L/min, CO2: 443 ppm
[LOG][2002-10-15 06:28] Temp: 24.3C, Press: 100.0Pa, Humid: 36.0%, Volt: 11.6V, Flow: 8.4 L/min, CO2: 447 ppm
[LOG][2002-10-15 18:18] Temp: 32.4C, Press: 102.8Pa, Humid: 76.5%, Volt: 11.4V, Flow: 11.8 L/min, CO2: 409 ppm
[LOG][2002-10-16 00:56] Temp: 20.0C, Press: 101.5Pa, Humid: 60.6%, Volt: 12.7V, Flow: 6.1 L/min, CO2: 408 ppm
[LOG][2002-10-16 05:49] Temp: 15.3C, Press: 98.7Pa, Humid: 50.9%, Volt: 13.4V, Flow: 12.7 L/min, CO2: 496 ppm
[LOG][2002-10-16 14:18] Temp: 16.4C, Press: 104.8Pa, Humid: 43.8%, Volt: 11.3V, Flow: 13.0 L/min, CO2: 411 ppm
[LOG][2002-10-17 00:35] Temp: 28.1C, Press: 101.8Pa, Humid: 65.9%, Volt: 13.8V, Flow: 11.8 L/min, CO2: 378 ppm
[LOG][2002-10-17 05:24] Temp: 27.0C, Press: 104.2Pa, Humid: 55.6%, Volt: 12.7V, Flow: 13.6 L/min, CO2: 371 ppm
[LOG][2002-10-17 19:42] Temp: 26.6C, Press: 104.7Pa, Humid: 35.0%, Volt: 13.4V, Flow: 9.8 L/min, CO2: 396 ppm
[LOG][2002-10-18 08:02] Temp: 33.3C, Press: 104.1Pa, Humid: 48.5%, Volt: 12.2V, Flow: 9.6 L/min, CO2: 431 ppm
[LOG][2002-10-18 15:05] Temp: 32.8C, Press: 100.6Pa, Humid: 78.3%, Volt: 13.8V, Flow: 10.6 L/min, CO2: 493 ppm
[LOG][2002-10-18 18:07] Temp: 32.5C, Press: 104.3Pa, Humid: 57.4%, Volt: 11.9V, Flow: 10.8 L/min, CO2: 441 ppm
[LOG][2002-10-19 21:52] Temp: 34.3C, Press: 100.2Pa, Humid: 34.5%, Volt: 13.1V, Flow: 5.0 L/min, CO2: 400 ppm
[LOG][2002-10-20 15:13] Temp: 34.6C, Press: 104.9Pa, Humid: 78.0%, Volt: 13.0V, Flow: 12.0 L/min, CO2: 479 ppm
[LOG][2002-10-21 08:18] Temp: 29.0C, Press: 99.1Pa, Humid: 47.6%, Volt: 12.3V, Flow: 7.0 L/min, CO2: 384 ppm
[LOG][2002-10-21 14:57] Temp: 24.6C, Press: 104.3Pa, Humid: 3.7%, Volt: 11.5V, Flow: 8.9 L/min, CO2: 400 ppm
[WARN] Humidity Out of Bounds - Humid: 3.7%
[LOG][2002-10-22 04:44] Temp: 21.0C, Press: 99.0Pa, Humid: 45.4%, Volt: 11.7V, Flow: 10.0 L/min, CO2: 444 ppm
[LOG][2002-10-22 09:36] Temp: 62.8C, Press: 85.4Pa, Humid: 62.1%, Volt: 13.0V, Flow: 13.3 L/min, CO2: 447 ppm
[LOG][2002-10-23 01:51] Temp: 21.3C, Press: 104.9Pa, Humid: 63.7%, Volt: 11.0V, Flow: nan L/min, CO2: 370 ppm
[ERROR] Sensor Disconnected - Flow: nan
[LOG][2002-10-24 05:43] Temp: 27.2C, Press: 98.4Pa, Humid: 72.0%, Volt: 11.2V, Flow: 11.0 L/min, CO2: 444 ppm
[LOG][2002-10-25 05:09] Temp: 33.8C, Press: 98.9Pa, Humid: 43.3%, Volt: 13.3V, Flow: 14.7 L/min, CO2: 384 ppm
[LOG][2002-10-26 10:08] Temp: 22.6C, Press: 103.6Pa, Humid: 40.0%, Volt: 12.0V, Flow: 14.5 L/min, CO2: 415 ppm
[LOG][2002-10-26 10:57] Temp: 25.7C, Press: 100.4Pa, Humid: 41.9%, Volt: 11.7V, Flow: 5.6 L/min, CO2: 358 ppm
[LOG][2002-10-26 12:36] Temp: 26.5C, Press: 103.1Pa, Humid: 37.1%, Volt: 12.0V, Flow: 6.2 L/min, CO2: 387 ppm
[LOG][2002-10-27 06:46] Temp: 15.5C, Press: 100.2Pa, Humid: 57.9%, Volt: 13.0V, Flow: 8.7 L/min, CO2: 373 ppm
[LOG][2002-10-28 22:06] Temp: 17.6C, Press: 104.0Pa, Humid: nan%, Volt: 13.6V, Flow: 12.7 L/min, CO2: 443 ppm
[ERROR] Sensor Disconnected - Humid: nan
[LOG][2002-10-29 10:15] Temp: 28.6C, Press: 102.4Pa, Humid: 36.7%, Volt: 11.7V, Flow: 8.4 L/min, CO2: 398 ppm
[LOG][2002-10-29 10:57] Temp: 24.5C, Press: 102.4Pa, Humid: 56.9%, Volt: 11.3V, Flow: 13.3 L/min, CO2: 400 ppm
[LOG][2002-10-29 17:37] Temp: 25.9C, Press: 103.1Pa, Humid: 63.8%, Volt: 13.5V, Flow: 13.2 L/min, CO2: 397 ppm
[LOG][2002-10-30 23:45] Temp: 30.9C, Press: 104.6Pa, Humid: 0.3%, Volt: 12.4V, Flow: 10.7 L/min, CO2: 357 ppm
[LOG][2002-10-31 05:19] Temp: 25.1C, Press: 103.8Pa, Humid: 79.5%, Volt: 13.6V, Flow: 12.8 L/min, CO2: 362 ppm
[LOG][2002-10-31 23:09] Temp: 32.4C, Press: 100.5Pa, Humid: 43.9%, Volt: 13.1V, Flow: 10.5 L/min, CO2: 381 ppm
[LOG][2002-11-01 02:56] Temp: 18.1C, Press: 99.6Pa, Humid: 62.6%, Volt: 12.6V, Flow: 7.9 L/min, CO2: 394 ppm
[LOG][2002-11-02 00:00] Temp: 28.1C, Press: 102.5Pa, Humid: 67.8%, Volt: 13.5V, Flow: 9.4 L/min, CO2: 471 ppm
[LOG][2002-11-02 05:50] Temp: 4.4C, Press: 102.7Pa, Humid: 96.5%, Volt: 11.7V, Flow: 8.4 L/min, CO2: 500 ppm
[LOG][2002-11-02 13:05] Temp: 24.9C, Press: 100.9Pa, Humid: 50.4%, Volt: 11.3V, Flow: 8.8 L/min, CO2: 362 ppm
[LOG][2002-11-03 06:58] Temp: 30.7C, Press: 98.0Pa, Humid: 64.3%, Volt: 12.0V, Flow: 5.5 L/min, CO2: 430 ppm
[LOG][2002-11-04 06:07] Temp: 21.5C, Press: 101.7Pa, Humid: 48.4%, Volt: 12.6V, Flow: 7.7 L/min, CO2: 443 ppm
[LOG][2002-11-05 19:46] Temp: 30.7C, Press: 98.2Pa, Humid: 62.4%, Volt: 13.9V, Flow: 13.2 L/min, CO2: 392 ppm
[LOG][2002-11-06 04:26] Temp: 31.6C, Press: 102.6Pa, Humid: 35.9%, Volt: 13.3V, Flow: 13.6 L/min, CO2: 463 ppm
[LOG][2002-11-06 18:48] Temp: 22.5C, Press: 98.9Pa, Humid: 61.2%, Volt: 12.1V, Flow: 6.0 L/min, CO2: 361 ppm
[LOG][2002-11-07 23:14] Temp: 28.9C, Press: 104.9Pa, Humid: 51.8%, Volt: 11.9V, Flow: 7.3 L/min, CO2: 470 ppm
[LOG][2002-11-08 07:44] Temp: 15.1C, Press: 100.5Pa, Humid: 56.9%, Volt: 11.4V, Flow: 14.0 L/min, CO2: 442 ppm
[LOG][2002-11-08 10:22] Temp: 19.4C, Press: 98.1Pa, Humid: 71.9%, Volt: 11.9V, Flow: 14.9 L/min, CO2: 383 ppm
[LOG][2002-11-08 13:40] Temp: 18.7C, Press: 99.7Pa, Humid: 55.4%, Volt: 13.4V, Flow: 7.6 L/min, CO2: 394 ppm
[LOG][2002-11-09 11:14] Temp: 34.6C, Press: 98.6Pa, Humid: 45.5%, Volt: 11.2V, Flow: 5.8 L/min, CO2: 369 ppm
[LOG][2002-11-10 00:01] Temp: 27.4C, Press: 103.7Pa, Humid: 97.4%, Volt: 11.4V, Flow: 8.3 L/min, CO2: 476 ppm
[WARN] Humidity Out of Bounds - Humid: 97.4%
[LOG][2002-11-11 10:40] Temp: 22.1C, Press: 100.3Pa, Humid: 68.3%, Volt: 11.9V, Flow: 13.5 L/min, CO2: 496 ppm
[LOG][2002-11-11 21:48] Temp: 31.0C, Press: 104.9Pa, Humid: 43.5%, Volt: 12.9V, Flow: 13.3 L/min, CO2: 489 ppm
[LOG][2002-11-12 07:50] Temp: 30.9C, Press: 104.6Pa, Humid: 54.3%, Volt: 11.2V, Flow: 7.9 L/min, CO2: 404 ppm
[LOG][2002-11-12 16:30] Temp: 25.8C, Press: 98.5Pa, Humid: 66.8%, Volt: 13.1V, Flow: 14.9 L/min, CO2: 474 ppm
[LOG][2002-11-13 08:17] Temp: 24.9C, Press: 98.7Pa, Humid: 64.2%, Volt: 11.7V, Flow: 12.3 L/min, CO2: 500 ppm
[LOG][2002-11-13 20:29] Temp: 24.2C, Press: 102.1Pa, Humid: 71.8%, Volt: 11.5V, Flow: 7.3 L/min, CO2: 418 ppm
[LOG][2002-11-13 23:47] Temp: 19.5C, Press: 101.9Pa, Humid: 72.0%, Volt: 12.1V, Flow: 13.7 L/min, CO2: 488 ppm
[LOG][2002-11-14 03:18] Temp: 23.1C, Press: 98.4Pa, Humid: 65.7%, Volt: 13.6V, Flow: 9.4 L/min, CO2: 420 ppm
[LOG][2002-11-14 18:01] Temp: 15.0C, Press: 99.9Pa, Humid: 79.5%, Volt: 11.6V, Flow: 8.7 L/min, CO2: 370 ppm
[LOG][2002-11-14 23:20] Temp: 31.2C, Press: 98.8Pa, Humid: 32.1%, Volt: 12.5V, Flow: 14.9 L/min, CO2: 403 ppm
[LOG][2002-11-15 02:17] Temp: 26.9C, Press: 104.1Pa, Humid: 33.2%, Volt: 12.9V, Flow: 5.1 L/min, CO2: 443 ppm
[LOG][2002-11-16 12:31] Temp: 27.1C, Press: 102.1Pa, Humid: 52.7%, Volt: 17.0V, Flow: 12.4 L/min, CO2: 382 ppm
[WARN] Low Voltage Warning - Volt: 17.0V
[LOG][2002-11-16 21:30] Temp: 17.8C, Press: 102.4Pa, Humid: 41.3%, Volt: 12.1V, Flow: 14.7 L/min, CO2: 351 ppm
[LOG][2002-11-16 22:36] Temp: 17.8C, Press: 104.7Pa, Humid: 58.7%, Volt: 11.4V, Flow: 11.0 L/min, CO2: 406 ppm
[LOG][2002-11-17 04:03] Temp: 33.0C, Press: 100.8Pa, Humid: 54.0%, Volt: 13.1V, Flow: 10.8 L/min, CO2: 398 ppm
[LOG][2002-11-17 04:27] Temp: 34.9C, Press: 99.2Pa, Humid: 44.0%, Volt: 12.4V, Flow: 13.4 L/min, CO2: 375 ppm
[LOG][2002-11-18 14:51] Temp: 25.2C, Press: 100.8Pa, Humid: 42.9%, Volt: 12.8V, Flow: 11.3 L/min, CO2: 492 ppm
[LOG][2002-11-18 21:16] Temp: 19.8C, Press: 100.6Pa, Humid: 74.9%, Volt: 13.6V, Flow: 11.7 L/min, CO2: 470 ppm
[LOG][2002-11-18 22:43] Temp: 33.7C, Press: 104.6Pa, Humid: 53.1%, Volt: 11.7V, Flow: 9.0 L/min, CO2: 442 ppm
[LOG][2002-11-19 12:41] Temp: 25.3C, Press: 99.1Pa, Humid: 58.4%, Volt: 12.2V, Flow: 14.4 L/min, CO2: 458 ppm
[LOG][2002-11-20 19:11] Temp: 15.4C, Press: 99.9Pa, Humid: 56.1%, Volt: 11.9V, Flow: 6.0 L/min, CO2: 431 ppm
[LOG][2002-11-21 18:36] Temp: 30.3C, Press: 104.1Pa, Humid: 55.4%, Volt: 12.6V, Flow: 8.8 L/min, CO2: 359 ppm
[LOG][2002-11-22 01:23] Temp: 26.8C, Press: 100.3Pa, Humid: 73.4%, Volt: 11.2V, Flow: 5.5 L/min, CO2: 389 ppm
[LOG][2002-11-22 04:01] Temp: 34.9C, Press: 102.5Pa, Humid: 57.8%, Volt: 12.0V, Flow: 7.3 L/min, CO2: 455 ppm
[LOG][2002-11-22 07:10] Temp: 30.3C, Press: 102.2Pa, Humid: 44.7%, Volt: 11.6V, Flow: 6.2 L/min, CO2: 428 ppm
[LOG][2002-11-23 08:12] Temp: 17.9C, Press: 99.3Pa, Humid: 33.2%, Volt: 11.6V, Flow: 5.5 L/min, CO2: 373 ppm
[LOG][2002-11-23 12:07] Temp: 19.3C, Press: 99.7Pa, Humid: 32.4%, Volt: 13.6V, Flow: 8.9 L/min, CO2: 450 ppm
[LOG][2002-11-24 06:22] Temp: 27.4C, Press: 104.7Pa, Humid: 60.5%, Volt: 11.6V, Flow: 9.3 L/min, CO2: 374 ppm
[LOG][2002-11-24 10:21] Temp: 33.4C, Press: 99.7Pa, Humid: 78.8%, Volt: 13.0V, Flow: 5.4 L/min, CO2: 382 ppm
[LOG][2002-11-25 03:12] Temp: 24.7C, Press: 101.5Pa, Humid: 57.9%, Volt: 11.1V, Flow: 6.5 L/min, CO2: 433 ppm
[LOG][2002-11-25 11:17] Temp: 34.5C, Press: 99.7Pa, Humid: 53.3%, Volt: 12.0V, Flow: 11.7 L/min, CO2: 356 ppm
[LOG][2002-11-25 17:27] Temp: 30.0C, Press: 99.7Pa, Humid: 52.1%, Volt: 12.6V, Flow: 8.9 L/min, CO2: 454 ppm
[LOG][2002-11-26 02:48] Temp: 25.4C, Press: 100.6Pa, Humid: 46.9%, Volt: 12.3V, Flow: 12.8 L/min, CO2: 473 ppm
[LOG][2002-11-26 05:40] Temp: 24.9C, Press: 99.1Pa, Humid: 50.2%, Volt: 12.4V, Flow: 9.8 L/min, CO2: 381 ppm
[LOG][2002-11-26 22:19] Temp: 34.1C, Press: 104.2Pa, Humid: 52.6%, Volt: 13.6V, Flow: 11.0 L/min, CO2: 440 ppm
[LOG][2002-11-27 04:49] Temp: 19.1C, Press: 99.0Pa, Humid: 9.2%, Volt: 13.4V, Flow: 10.9 L/min, CO2: 473 ppm
[WARN] Humidity Out of Bounds - Humid: 9.2%
[LOG][2002-11-28 11:56] Temp: 19.0C, Press: 100.5Pa, Humid: 61.9%, Volt: 11.1V, Flow: 12.2 L/min, CO2: 450 ppm
[LOG][2002-11-28 13:48] Temp: 27.3C, Press: 101.1Pa, Humid: 60.4%, Volt: 12.5V, Flow: 12.7 L/min, CO2: 445 ppm
[LOG][2002-11-28 20:26] Temp: 16.2C, Press: 104.3Pa, Humid: 57.9%, Volt: 11.7V, Flow: 13.4 L/min, CO2: 384 ppm
[LOG][2002-11-29 07:47] Temp: 26.4C, Press: 100.8Pa, Humid: 34.3%, Volt: 13.3V, Flow: 6.1 L/min, CO2: 128 ppm
[ERROR] CO2 Level Critical - CO2: 128 ppm
[LOG][2002-11-30 22:31] Temp: 34.4C, Press: 83.7Pa, Humid: 30.4%, Volt: 12.7V, Flow: 5.8 L/min, CO2: 457 ppm
[WARN] Low Pressure Warning - Press: 83.7Pa
[LOG][2002-12-01 02:51] Temp: 26.2C, Press: 101.9Pa, Humid: 74.1%, Volt: 14.0V, Flow: 10.8 L/min, CO2: 376 ppm
[LOG][2002-12-01 11:19] Temp: 16.0C, Press: 103.2Pa, Humid: 57.8%, Volt: 11.8V, Flow: 10.3 L/min, CO2: 384 ppm
[LOG][2002-12-02 04:52] Temp: 15.5C, Press: 99.9Pa, Humid: 43.6%, Volt: 13.1V, Flow: 8.9 L/min, CO2: 377 ppm
[LOG][2002-12-02 05:55] Temp: 30.1C, Press: 101.3Pa, Humid: 34.8%, Volt: 13.1V, Flow: 10.2 L/min, CO2: 485 ppm
[LOG][2002-12-02 19:35] Temp: 33.7C, Press: 103.6Pa, Humid: 45.5%, Volt: 11.6V, Flow: 5.0 L/min, CO2: 369 ppm
[LOG][2002-12-03 09:16] Temp: 23.4C, Press: 99.2Pa, Humid: 44.8%, Volt: 12.4V, Flow: 5.9 L/min, CO2: 364 ppm
[LOG][2002-12-04 06:59] Temp: 26.3C, Press: 103.0Pa, Humid: 45.3%, Volt: 12.1V, Flow: 6.1 L/min, CO2: 383 ppm
[LOG][2002-12-04 10:15] Temp: 16.0C, Press: 83.6Pa, Humid: 76.3%, Volt: 13.6V, Flow: 12.4 L/min, CO2: 125 ppm
[LOG][2002-12-04 18:15] Temp: 25.7C, Press: 103.2Pa, Humid: 76.8%, Volt: 7.1V, Flow: 14.3 L/min, CO2: 400 ppm
[WARN] Low Voltage Warning - Volt: 7.1V
[LOG][2002-12-05 06:11] Temp: 30.3C, Press: 99.7Pa, Humid: 37.6%, Volt: 11.4V, Flow: 5.4 L/min, CO2: 403 ppm
[LOG][2002-12-05 17:37] Temp: 19.3C, Press: 103.8Pa, Humid: 74.6%, Volt: 12.5V, Flow: 12.5 L/min, CO2: 489 ppm
[LOG][2002-12-06 09:05] Temp: 23.1C, Press: 99.3Pa, Humid: 75.8%, Volt: 12.8V, Flow: 7.1 L/min, CO2: 394 ppm
[LOG][2002-12-06 20:03] Temp: 16.1C, Press: 102.3Pa, Humid: 76.8%, Volt: 13.8V, Flow: 12.4 L/min, CO2: 452 ppm
[LOG][2002-12-06 21:14] Temp: 17.2C, Press: 104.1Pa, Humid: 72.0%, Volt: 11.6V, Flow: 12.7 L/min, CO2: 471 ppm
[LOG][2002-12-07 01:07] Temp: 32.7C, Press: 101.2Pa, Humid: 59.9%, Volt: 11.1V, Flow: 11.3 L/min, CO2: 403 ppm
[LOG][2002-12-08 13:44] Temp: 24.4C, Press: 105.0Pa, Humid: 30.7%, Volt: 13.5V, Flow: 11.8 L/min, CO2: 456 ppm
[LOG][2002-12-08 23:21] Temp: 23.6C, Press: 102.4Pa, Humid: 37.0%, Volt: 12.0V, Flow: 6.1 L/min, CO2: 356 ppm
[LOG][2002-12-09 00:47] Temp: 16.5C, Press: 100.2Pa, Humid: 78.8%, Volt: 11.8V, Flow: 13.4 L/min, CO2: 400 ppm
[LOG][2002-12-10 03:37] Temp: 15.3C, Press: 99.4Pa, Humid: 99.1%, Volt: 12.7V, Flow: 9.1 L/min, CO2: 448 ppm
[WARN] Humidity Out of Bounds - Humid: 99.1%
[LOG][2002-12-10 04:42] Temp: 26.5C, Press: 98.5Pa, Humid: 34.8%, Volt: 12.0V, Flow: 5.7 L/min, CO2: 432 ppm
[LOG][2002-12-10 12:17] Temp: 29.0C, Press: 101.3Pa, Humid: 58.4%, Volt: 13.2V, Flow: 13.7 L/min, CO2: 455 ppm
[LOG][2002-12-11 09:09] Temp: 23.3C, Press: 103.2Pa, Humid: 37.7%, Volt: 12.0V, Flow: 10.6 L/min, CO2: 410 ppm
[LOG][2002-12-11 09:14] Temp: 20.2C, Press: 103.8Pa, Humid: 49.3%, Volt: 12.8V, Flow: 6.5 L/min, CO2: 430 ppm
[LOG][2002-12-11 19:17] Temp: 22.9C, Press: 101.0Pa, Humid: 30.7%, Volt: 11.0V, Flow: 7.0 L/min, CO2: 429 ppm
[LOG][2002-12-12 00:46] Temp: 27.6C, Press: 100.4Pa, Humid: 44.2%, Volt: 12.2V, Flow: 13.8 L/min, CO2: 381 ppm
[LOG][2002-12-12 19:18] Temp: 26.1C, Press: 101.6Pa, Humid: 32.4%, Volt: 12.3V, Flow: 14.6 L/min, CO2: 383 ppm
[LOG][2002-12-13 02:23] Temp: 28.1C, Press: 98.1Pa, Humid: 45.4%, Volt: 11.8V, Flow: 11.8 L/min, CO2: 411 ppm
[LOG][2002-12-14 15:21] Temp: 25.0C, Press: 98.2Pa, Humid: 36.0%, Volt: 13.1V, Flow: 14.3 L/min, CO2: 435 ppm
[LOG][2002-12-15 02:08] Temp: 34.9C, Press: 103.8Pa, Humid: 33.2%, Volt: 12.0V, Flow: 5.5 L/min, CO2: 399 ppm
[LOG][2002-12-15 16:37] Temp: 30.9C, Press: 100.7Pa, Humid: 36.9%, Volt: 11.4V, Flow: 10.6 L/min, CO2: 493 ppm
[LOG][2002-12-15 18:08] Temp: 21.9C, Press: 99.2Pa, Humid: 73.7%, Volt: 12.4V, Flow: 8.1 L/min, CO2: 385 ppm
[LOG][2002-12-16 08:59] Temp: 18.4C, Press: 103.0Pa, Humid: 65.6%, Volt: 13.8V, Flow: 8.8 L/min, CO2: 412 ppm
[LOG][2002-12-17 06:58] Temp: 30.1C, Press: 103.5Pa, Humid: 38.1%, Volt: 11.8V, Flow: 5.6 L/min, CO2: 471 ppm
[LOG][2002-12-18 06:56] Temp: 32.0C, Press: 100.7Pa, Humid: 51.3%, Volt: 12.0V, Flow: 5.3 L/min, CO2: 424 ppm
[LOG][2002-12-19 12:32] Temp: 19.4C, Press: 101.8Pa, Humid: 69.8%, Volt: 13.0V, Flow: 9.0 L/min, CO2: 446 ppm
[LOG][2002-12-20 13:08] Temp: 28.4C, Press: 103.6Pa, Humid: 70.2%, Volt: 12.1V, Flow: 11.4 L/min, CO2: 350 ppm
[LOG][2002-12-20 17:39] Temp: 24.9C, Press: 101.2Pa, Humid: 57.5%, Volt: 11.5V, Flow: 5.9 L/min, CO2: 419 ppm
[LOG][2002-12-20 18:59] Temp: 26.7C, Press: 104.7Pa, Humid: 34.8%, Volt: 12.4V, Flow: 7.2 L/min, CO2: 390 ppm
[LOG][2002-12-21 05:57] Temp: 34.4C, Press: 101.3Pa, Humid: 58.1%, Volt: 13.3V, Flow: 11.7 L/min, CO2: 469 ppm
[LOG][2002-12-22 07:23] Temp: 22.9C, Press: 101.6Pa, Humid: 64.8%, Volt: 11.7V, Flow: 8.6 L/min, CO2: 482 ppm
[LOG][2002-12-22 18:05] Temp: 20.4C, Press: 100.1Pa, Humid: 69.8%, Volt: 13.9V, Flow: 9.8 L/min, CO2: 413 ppm
[LOG][2002-12-23 11:07] Temp: 31.9C, Press: 102.6Pa, Humid: 59.5%, Volt: 12.3V, Flow: 9.0 L/min, CO2: 397 ppm
[LOG][2002-12-23 21:32] Temp: 30.9C, Press: 104.5Pa, Humid: 46.1%, Volt: 12.8V, Flow: 7.6 L/min, CO2: 432 ppm
[LOG][2002-12-24 02:48] Temp: 27.2C, Press: 102.8Pa, Humid: 62.6%, Volt: 13.0V, Flow: 7.1 L/min, CO2: 422 ppm
[DEBUG] Interval Check
[LOG][2002-12-24 22:10] Temp: 21.9C, Press: 99.2Pa, Humid: 34.0%, Volt: 12.0V, Flow: 7.8 L/min, CO2: 399 ppm
